Compound ID,measured_log_solubility,ESOL_log,SMILES,standard_smiles,standard_inchikeys
phenolphthalein,-2.9,-4.59,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 ,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,KJFMBFZCATUALV-UHFFFAOYSA-N
Androsterone,-4.402,-3.882,CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,QGXBDMJGAMFCBF-UHFFFAOYSA-N
4-Ethyltoluene,-3.11,-3.328,CCc1ccc(C)cc1,CCc1ccc(C)cc1,JRLPEMVDPFPYPJ-UHFFFAOYSA-N
Reposal,-2.696,-2.781,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,YGOGAACPYALXRT-UHFFFAOYSA-N
Carbetamide,-1.83,-2.29,c1c(NC(=O)OC(C)C(=O)NCC)cccc1,CCNC(=O)C(C)OC(=O)Nc1ccccc1,AMRQXHFXNZFDCH-UHFFFAOYSA-N
2-Bromotoluene,-2.23,-3.667,Cc1ccccc1Br,Cc1ccccc1Br,QSSXJPIWXQTSIX-UHFFFAOYSA-N
Carbazole,-5.27,-3.836,c1ccc2c(c1)[nH]c3ccccc32,c1ccc2c(c1)[nH]c1ccccc12,UJOBWOGCFQCDNV-UHFFFAOYSA-N
Butan-2-ol,0.47,-0.616,CCC(C)O,CCC(C)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N
1-Napthylamine,-1.92,-2.721,Nc1cccc2ccccc12,Nc1cccc2ccccc12,RUFPHBVGCFYCNW-UHFFFAOYSA-N
Hexestrol,-4.43,-4.854,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,PBBGSZCBWVPOOL-UHFFFAOYSA-N
t-Crotonaldehyde,0.32,-0.604,C/C=C/C=O,C/C=C/C=O,MLUCVPSAIODCQM-NSCUHMNNSA-N
Ethylene,-0.4,-0.815,C=C,C=C,VGGSQFUCUMXWEO-UHFFFAOYSA-N
Cypermethrin,-8.017,-6.775,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,KAATUXNTWXVJKI-UHFFFAOYSA-N
Azintamide,-1.716,-2.231,CCN(CC)C(=O)CSc1ccc(Cl)nn1,CCN(CC)C(=O)CSc1ccc(Cl)nn1,SSLKKMZJCJBOML-UHFFFAOYSA-N
Niridazole,-3.22,-1.948,O=C1NCCN1c2ncc(s2)N(=O)=O,O=C1NCCN1c1ncc([N+](=O)[O-])s1,RDXLYGJSWZYTFJ-UHFFFAOYSA-N
Azodrin,0.651,-0.949,CNC(=O)C=C(C)OP(=O)(OC)OC,CNC(=O)C=C(C)OP(=O)(OC)OC,KRTSDMXIXPKRQR-UHFFFAOYSA-N
Cyclobutyl-5-spirobarbituric acid,-1.655,-0.527,O=C2NC(=O)C1(CCC1)C(=O)N2,O=C1NC(=O)C2(CCC2)C(=O)N1,VQDXQNNYGSEHPU-UHFFFAOYSA-N
cycloheximide,-1.13,-1.532,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,YPHMISFOHDHNIV-UHFFFAOYSA-N
Propylene,-1.08,-1.235,CC=C,C=CC,QQONPFPTGQHPMA-UHFFFAOYSA-N
Oxycarboxin,-2.281,-2.169,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,AMEKQAFGQBKLKX-UHFFFAOYSA-N
chloropropylate,-4.53,-5.093,c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1cccc(Cl)c1,XCKRRIQXHFBKKB-UHFFFAOYSA-N
Meprobamate,-1.807,-1.376,CCCC(C)(COC(N)=O)COC(N)=O ,CCCC(C)(COC(N)=O)COC(N)=O,NPPQSCRMBWNHMW-UHFFFAOYSA-N
"1,1,2-Trichloroethane",-1.48,-1.961,ClCC(Cl)Cl,ClCC(Cl)Cl,UBOXGVDOUJQMTN-UHFFFAOYSA-N
Pyrolan,-2.09,-3.141,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,GEDIWDLJKRKBFT-UHFFFAOYSA-N
"1,2-Propylene oxide",-0.59,-0.358,CC1CO1,CC1CO1,GOOHAUXETOMSMM-UHFFFAOYSA-N
m-Nitrotoluene,-2.44,-2.64,Cc1cccc(c1)N(=O)=O,Cc1cccc([N+](=O)[O-])c1,QZYHIOPPLUPUJF-UHFFFAOYSA-N
p-Aminophenol,-0.8,-1.231,Nc1ccc(O)cc1,Nc1ccc(O)cc1,PLIKAWJENQZMHA-UHFFFAOYSA-N
1-Butanol,0.0,-0.688,CCCCO,CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N
Indapamide,-3.586,-4.345,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,NDDAHWYSQHTHNT-UHFFFAOYSA-N
"1,2-Dichloroethane",-1.06,-1.374,ClCCCl,ClCCCl,WSLDOOZREJYCGB-UHFFFAOYSA-N
propachlor,-2.48,-3.018,CC(C)N(C(=O)CCl)c1ccccc1 ,CC(C)N(C(=O)CCl)c1ccccc1,MFOUDYKPLGXPGO-UHFFFAOYSA-N
Thiourea,0.32,0.329,NC(=S)N,NC(N)=S,UMGDCJDMYOKAJW-UHFFFAOYSA-N
Chlorbufam,-2.617,-3.629,CC(OC(=O)Nc1cccc(Cl)c1)C#C,C#CC(C)OC(=O)Nc1cccc(Cl)c1,ULBXWWGWDPVHAO-UHFFFAOYSA-N
1-Bromopentane,-3.08,-2.658,CCCCCBr,CCCCCBr,YZWKKMVJZFACSU-UHFFFAOYSA-N
Glutethimide,-2.337,-2.591,CCC1(CCC(=O)NC1=O)c2ccccc2 ,CCC1(c2ccccc2)CCC(=O)NC1=O,JMBQKKAJIKAWKF-UHFFFAOYSA-N
D-fenchone,-1.85,-2.158,CC2(C)C1CCC(C)(C1)C2=O,CC12CCC(C1)C(C)(C)C2=O,LHXDLQBQYFFVNW-UHFFFAOYSA-N
Iodobenzene,-3.01,-3.8,Ic1ccccc1,Ic1ccccc1,SNHMUERNLJLMHN-UHFFFAOYSA-N
oryzalin,-5.16,-3.784,CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],UNAHYJYOSSSJHH-UHFFFAOYSA-N
Nonane,-5.88,-3.678,CCCCCCCCC,CCCCCCCCC,BKIMMITUMNQMOS-UHFFFAOYSA-N
Pentylcyclopentane,-6.08,-3.869,CCCCCC1CCCC1,CCCCCC1CCCC1,HPQURZRDYMUHJI-UHFFFAOYSA-N
Perylene,-8.804,-6.007,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,CSHWQDPOILHKBI-UHFFFAOYSA-N
"2,4-Dimethylpentane",-4.26,-2.938,CC(C)CC(C)C,CC(C)CC(C)C,BZHMBWZPUJHVEE-UHFFFAOYSA-N
Cycloheptene,-3.18,-2.599,C1CCC=CCC1,C1=CCCCCC1,ZXIJMRYMVAMXQP-UHFFFAOYSA-N
Equilenin,-5.24,-3.927,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,PDRGHUMCVRDZLQ-UHFFFAOYSA-N
Terbutryn,-4.0,-3.75,CCNc1nc(NC(C)(C)C)nc(SC)n1,CCNc1nc(NC(C)(C)C)nc(SC)n1,IROINLKCQGIITA-UHFFFAOYSA-N
"1,3,5-Tribromobenzene",-5.6,-5.27,Brc1cc(Br)cc(Br)c1,Brc1cc(Br)cc(Br)c1,YWDUZLFWHVQCHY-UHFFFAOYSA-N
4-Chlorotoluene,-3.08,-3.297,Cc1ccc(Cl)cc1,Cc1ccc(Cl)cc1,NPDACUSDTOMAMK-UHFFFAOYSA-N
"2,4-PCB",-5.25,-5.142,Clc1ccc(cc1)c2ccccc2Cl ,Clc1ccc(-c2ccccc2Cl)cc1,UFNIBRDIUNVOMX-UHFFFAOYSA-N
Valeraldehyde,-0.85,-1.103,CCCCC=O,CCCCC=O,HGBOYTHUEUWSSQ-UHFFFAOYSA-N
Parathion,-4.66,-3.949,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,LCCNCVORNKJIRZ-UHFFFAOYSA-N
tetramethylurea,0.94,-0.495,CN(C)C(=O)N(C)C ,CN(C)C(=O)N(C)C,AVQQQNCBBIEMEU-UHFFFAOYSA-N
butacarb,-4.24,-4.642,c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1,CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,SLZWBCGZQRRUNG-UHFFFAOYSA-N
Malonic acid diethylester,-0.82,-1.413,CCOC(=O)CC(=O)OCC,CCOC(=O)CC(=O)OCC,IYXGSMUGOJNHAZ-UHFFFAOYSA-N
Chloropham,-3.38,-3.544,CC(C)OC(=O)Nc1cccc(Cl)c1,CC(C)OC(=O)Nc1cccc(Cl)c1,CWJSHJJYOPWUGX-UHFFFAOYSA-N
osthole,-4.314,-4.076,c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O ,COc1ccc2ccc(=O)oc2c1CC=C(C)C,MBRLOUHOWLUMFF-UHFFFAOYSA-N
2-Nonanone,-2.58,-2.263,CCCCCCCC(=O)C,CCCCCCCC(C)=O,VKCYHJWLYTUGCC-UHFFFAOYSA-N
RTI 10,-3.672,-2.771,O2c1ccccc1N(C)C(=O)c3cccnc23 ,CN1C(=O)c2cccnc2Oc2ccccc21,BBMMISOHGVCAMY-UHFFFAOYSA-N
alachlor,-3.26,-3.319,CCc1cccc(CC)c1N(COC)C(=O)CCl ,CCc1cccc(CC)c1N(COC)C(=O)CCl,XCSGPAVHZFQHGE-UHFFFAOYSA-N
3-Ethanoyloxymethylphenytoin,-4.47,-2.723,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,FBFCVJNZKBVVRP-UHFFFAOYSA-N
1-Octene ,-4.44,-3.073,CCCCCCC=C,C=CCCCCCC,KWKAKUADMBZCLK-UHFFFAOYSA-N
"1,3-Butadiene",-1.87,-1.376,C=CC=C,C=CC=C,KAKZBPTYRLMSJV-UHFFFAOYSA-N
citral,-2.06,-2.579,CC(C)=CCCC(C)=CC(=O),CC(C)=CCCC(C)=CC=O,WTEVQBCEXWBHNA-UHFFFAOYSA-N
3-Hexanoyloxymethylphenyltoin,-5.886,-4.153,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,OLWXRKNZPGNRLT-UHFFFAOYSA-N
"2,4-Dimethyl-3-pentanone",-1.3,-1.752,CC(C)C(=O)C(C)C,CC(C)C(=O)C(C)C,HXVNBWAKAOHACI-UHFFFAOYSA-N
"2,4-Dimethyl-2-pentanol ",-0.92,-1.647,CC(C)CC(C)(C)O,CC(C)CC(C)(C)O,FMLSQAUAAGVTJO-UHFFFAOYSA-N
Diethyl phthalate ,-2.35,-3.016,CCOC(=O)c1ccccc1C(=O)OCC,CCOC(=O)c1ccccc1C(=O)OCC,FLKPEMZONWLCSK-UHFFFAOYSA-N
isocarbamid,-2.15,-1.508,C1N(C(=O)NCC(C)C)C(=O)NC1,CC(C)CNC(=O)N1CCNC1=O,SBYAVOHNDJTVPA-UHFFFAOYSA-N
triamcinolone acetonide,-4.31,-3.928,CC5(C)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO ,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,YNDXUCZADRHECN-UHFFFAOYSA-N
Cyclopentyl-5-spirobarbituric acid,-2.349,-0.966,O=C2NC(=O)C1(CCCC1)C(=O)N2,O=C1NC(=O)C2(CCCC2)C(=O)N1,HYPRUQJUBWRVEM-UHFFFAOYSA-N
Clonazepam,-3.499,-3.707,Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,DGBIGWXXNGSACT-UHFFFAOYSA-N
Tricresyl phosphate,-6.01,-6.39,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,FSNFYCPCXFQJSI-UHFFFAOYSA-N
Chloroacetonitrile,-0.092,-0.448,ClCC#N,N#CCCl,RENMDAKOXSCIGH-UHFFFAOYSA-N
Dyphylline,-0.17,-0.847,Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,KSCFJBIXMNOVSH-UHFFFAOYSA-N
Theophylline,-1.39,-1.452,Cn1c(=O)n(C)c2nc[nH]c2c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,ZFXYFBGIUFBOJW-UHFFFAOYSA-N
2-Methylphenol,-0.62,-2.281,Cc1ccccc1O,Cc1ccccc1O,QWVGKYWNOKOFNN-UHFFFAOYSA-N
1-Iodopropane,-2.29,-2.486,CCCI,CCCI,PVWOIHVRPOBWPI-UHFFFAOYSA-N
Terbacil,-2.484,-3.033,Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,NBQCNZYJJMBDKY-UHFFFAOYSA-N
p-Cresol,-0.73,-2.313,Cc1ccc(O)cc1,Cc1ccc(O)cc1,IWDCLRJOBJJRNH-UHFFFAOYSA-N
5-Allyl-5-ethylbarbital,-1.614,-1.368,O=C1NC(=O)NC(=O)C1(CC)CC=C,C=CCC1(CC)C(=O)NC(=O)NC1=O,QPADNTZLUBYNEN-UHFFFAOYSA-N
o-Methoxyphenol,-1.96,-1.941,COc1ccccc1O,COc1ccccc1O,LHGVFZTZFXWLCP-UHFFFAOYSA-N
Benzo(a)pyrene,-8.699,-6.007,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,FMMWHPNWAFZXNH-UHFFFAOYSA-N
p-Hydroxyacetanilide,-1.03,-1.495,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,RZVAJINKPMORJF-UHFFFAOYSA-N
Abate,-6.237,-6.678,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,WWJZWCUNLNYYAU-UHFFFAOYSA-N
Fenitrothion,-4.04,-3.845,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,ZNOLGFHPUIJIMJ-UHFFFAOYSA-N
Isoproturon,-3.536,-2.867,CC(C)c1ccc(NC(=O)N(C)C)cc1,CC(C)c1ccc(NC(=O)N(C)C)cc1,PUIYMUZLKQOUOZ-UHFFFAOYSA-N
sulfaguanidine,-1.99,-0.706,NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,N=C(N)NS(=O)(=O)c1ccc(N)cc1,BRBKOPJOKNSWSG-UHFFFAOYSA-N
Pentyl acetate,-1.89,-1.833,CCCCCOC(=O)C,CCCCCOC(C)=O,PGMYKACGEOXYJE-UHFFFAOYSA-N
Glyceryl triacetate,-0.6,-1.285,CC(=O)OCC(COC(=O)C)OC(=O)C,CC(=O)OCC(COC(C)=O)OC(C)=O,URAYPUMNDPQOKB-UHFFFAOYSA-N
1-Methylphenanthrene,-5.85,-4.87,Cc1cccc2c1ccc3ccccc32,Cc1cccc2c1ccc1ccccc12,DOWJXOHBNXRUOD-UHFFFAOYSA-N
Propoxur,-2.05,-2.409,CNC(=O)Oc1ccccc1OC(C)C,CNC(=O)Oc1ccccc1OC(C)C,ISRUGXGCCGIOQO-UHFFFAOYSA-N
meconin,-1.899,-0.825,c1c(OC)c(OC)C2C(=O)OCC2c1,COC1=C(OC)C2C(=O)OCC2C=C1,TVDYTVXARUOWKL-UHFFFAOYSA-N
2-hydroxypteridine,-1.947,-1.404,Oc2ncc1nccnc1n2,O=c1nc2nccnc2c[nH]1,VWXIHLCLIOQWRA-UHFFFAOYSA-N
hydrochlorothiazide,-2.63,-1.72,NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl ,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,JZUFKLXOESDKRF-UHFFFAOYSA-N
"2,3-Dimethyl-1,3-Butadiene",-2.4,-2.052,CC(=C)C(=C)C,C=C(C)C(=C)C,SDJHPPZKZZWAKF-UHFFFAOYSA-N
Isoquinoline,-1.45,-2.531,c1ccc2cnccc2c1,c1ccc2cnccc2c1,AWJUIBRHMBBTKR-UHFFFAOYSA-N
Amobarbital,-2.468,-2.312,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,VIROVYVQCGLCII-UHFFFAOYSA-N
Isobutyl acetate,-1.21,-1.463,CC(C)COC(=O)C,CC(=O)OCC(C)C,GJRQTCIYDGXPES-UHFFFAOYSA-N
Methyl formate,0.58,-0.048,COC=O,COC=O,TZIHFWKZFHZASV-UHFFFAOYSA-N
p-Hydroxybenzaldehyde ,-0.96,-2.003,Oc1ccc(C=O)cc1,O=Cc1ccc(O)cc1,RGHHSNMVTDWUBI-UHFFFAOYSA-N
2-Nonanol,-2.74,-2.387,CCCCCCCC(C)O,CCCCCCCC(C)O,NGDNVOAEIVQRFH-UHFFFAOYSA-N
"2,7-dimethylquinoline",-1.94,-3.342,c2c(C)cc1nc(C)ccc1c2 ,Cc1ccc2ccc(C)nc2c1,QXKPLNCZSFACPU-UHFFFAOYSA-N
2-Propanol,0.43,-0.261,CC(C)O,CC(C)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N
Prasterone,-4.12,-3.564,CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,FMGSKLZLMKYGDP-UHFFFAOYSA-N
Triallate,-4.88,-4.578,CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,MWBPRDONLNQCFV-UHFFFAOYSA-N
Camphor,-1.96,-2.158,CC1(C)C2CCC1(C)C(=O)C2,CC12CCC(CC1=O)C2(C)C,DSSYKIVIOFKYAU-UHFFFAOYSA-N
Minoxidil,-1.989,-1.809,Nc1cc(nc(N)n1=O)N2CCCCC2 ,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],ZFMITUMMTDLWHR-UHFFFAOYSA-N
"1,2-Dibromobenzene",-3.5,-4.172,Brc1ccccc1Br,Brc1ccccc1Br,WQONPSCCEXUXTQ-UHFFFAOYSA-N
Isofenphos,-4.194,-4.538,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,HOQADATXFBOEGG-UHFFFAOYSA-N
Dapsone,-3.094,-2.464,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,MQJKPEGWNLWLTK-UHFFFAOYSA-N
Cyhalothrin,-8.176,-6.905,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,ZXQYGBMAQZUVMI-UHFFFAOYSA-N
Phoxim,-4.862,-4.557,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,ATROHALUCMTWTB-UHFFFAOYSA-N
"4,4'-PCB",-6.56,-5.299,Clc1ccc(cc1)c2ccc(Cl)cc2 ,Clc1ccc(-c2ccc(Cl)cc2)cc1,YTBRNEUEFCNVHC-UHFFFAOYSA-N
1-Tetradecanol,-5.84,-4.231,CCCCCCCCCCCCCCO,CCCCCCCCCCCCCCO,HLZKNKRTKFSKGZ-UHFFFAOYSA-N
Sucrose,0.79,0.31,OCC2OC(OC1(CO)OC(CO)C(O)C1O)C(O)C(O)C2O ,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,CZMRCDWAGMRECN-UHFFFAOYSA-N
Acrolein,0.57,-0.184,C=CC=O,C=CC=O,HGINCPLSRVDWNT-UHFFFAOYSA-N
Oxazepam,-3.952,-3.517,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,ADIMAYPTOBDMTL-UHFFFAOYSA-N
2-Phenoxyethanol,-0.7,-1.761,OCCOc1ccccc1,OCCOc1ccccc1,QCDWFXQBSFUVSP-UHFFFAOYSA-N
o-Hydroxybenzamide,-1.82,-1.942,NC(=O)c1ccccc1O,NC(=O)c1ccccc1O,SKZKKFZAGNVIMN-UHFFFAOYSA-N
3-Methyl-2-butanone,-0.12,-0.912,CC(C)C(=O)C,CC(=O)C(C)C,SYBYTAAJFKOIEJ-UHFFFAOYSA-N
2-Ethylbutanal,-1.52,-1.523,CCC(CC)C=O,CCC(C=O)CC,UNNGUFMVYQJGTD-UHFFFAOYSA-N
chlordimeform,-2.86,-3.164,CN(C)C=Nc1ccc(Cl)cc1C,Cc1cc(Cl)ccc1N=CN(C)C,STUSTWKEFDQFFZ-UHFFFAOYSA-N
"2,6-Dimethylphenol",-1.29,-2.589,Cc1cccc(C)c1O,Cc1cccc(C)c1O,NXXYKOUNUYWIHA-UHFFFAOYSA-N
Linuron,-3.592,-3.581,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,XKJMBINCVNINCA-UHFFFAOYSA-N
Progesterone,-4.42,-4.17,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,RJKFOVLPORLFTN-UHFFFAOYSA-N
4-hexylresorcinol,-2.59,-3.493,c1(O)cc(O)ccc1CCCCCC,CCCCCCc1ccc(O)cc1O,WFJIVOKAWHGMBH-UHFFFAOYSA-N
"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",-4.081,-5.312,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,LTMHDMANZUZIPE-UHFFFAOYSA-N
Benzocaine,-2.616,-2.383,CCOC(=O)c1ccc(N)cc1,CCOC(=O)c1ccc(N)cc1,BLFLLBZGZJTVJG-UHFFFAOYSA-N
4-Methyl-2-pentanol,-0.8,-1.308,CC(C)CC(C)O,CC(C)CC(C)O,WVYWICLMDOOCFB-UHFFFAOYSA-N
3-Methyl-3-heptanol,-1.6,-2.017,CCCCC(C)(O)CC,CCCCC(C)(O)CC,PQOSNJHBSNZITJ-UHFFFAOYSA-N
2-Methyltetrahydrofurane,0.11,-1.034,CC1CCCO1,CC1CCCO1,JWUJQDFVADABEY-UHFFFAOYSA-N
glucose,0.74,0.501,OCC1OC(O)C(O)C(O)C1O,OCC1OC(O)C(O)C(O)C1O,WQZGKKKJIJFFOK-UHFFFAOYSA-N
"3,4-Dimethylphenol",-1.38,-2.621,Cc1ccc(O)cc1C,Cc1ccc(O)cc1C,YCOXTKKNXUZSKD-UHFFFAOYSA-N
Propazine,-4.43,-3.329,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,WJNRPILHGGKWCK-UHFFFAOYSA-N
3-Ethyl-3-pentanol,-0.85,-1.663,CCC(O)(CC)CC,CCC(O)(CC)CC,XKIRHOWVQWCYBT-UHFFFAOYSA-N
norflurazon,-4.046,-4.029,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,NVGOPFQZYCNLDU-UHFFFAOYSA-N
3-Methyl-2-pentanol,-0.71,-1.308,CCC(C)CCO,CCC(C)CCO,IWTBVKIGCDZRPL-UHFFFAOYSA-N
Thiram,-3.9,-2.444,CN(C)C(=S)SSC(=S)N(C)C ,CN(C)C(=S)SSC(=S)N(C)C,KUAZQDVKQLNFPE-UHFFFAOYSA-N
Amitraz,-5.47,-5.533,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,QXAITBQSYVNQDR-UHFFFAOYSA-N
"cis 1,2-Dichloroethylene",-1.3,-1.561,Cl\C=C/Cl,Cl/C=C\Cl,KFUSEUYYWQURPO-UPHRSURJSA-N
m-Chloronitrobenzene ,-2.77,-2.901,Clc1cccc(c1)N(=O)=O,O=[N+]([O-])c1cccc(Cl)c1,KMAQZIILEGKYQZ-UHFFFAOYSA-N
"N,N-Dimethylaniline",-1.92,-2.542,CN(C)c1ccccc1,CN(C)c1ccccc1,JLTDJTHDQAWBAV-UHFFFAOYSA-N
stadacaine,-3.84,-5.128,CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC ,CCCCOc1ccc(C(=O)OCC)c(N(CC)CC)c1,VZPIPJKBIZCCCK-UHFFFAOYSA-N
"1,2-Diethylbenzene",-3.28,-3.601,CCc1ccccc1CC,CCc1ccccc1CC,KVNYFPKFSJIPBJ-UHFFFAOYSA-N
aminopyrine,-0.364,-2.129,CN(C)c2c(C)n(C)n(c1ccccc1)c2=O ,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,RMMXTBMQSGEXHJ-UHFFFAOYSA-N
diethylstilbestrol,-4.07,-5.074,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,RGLYKWWBQGJZGM-UHFFFAOYSA-N
Chloropicrin,-2.0,-1.866,ClC(Cl)(Cl)N(=O)=O,O=[N+]([O-])C(Cl)(Cl)Cl,LFHISGNCFUNFFM-UHFFFAOYSA-N
1-Octadecanol,-8.4,-5.649,CCCCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCCCO,GLDOVTGHNKAZLK-UHFFFAOYSA-N
