standard_inchikeys,standard_smiles
LTMHDMANZUZIPE-UHFFFAOYSA-N,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
BLFLLBZGZJTVJG-UHFFFAOYSA-N,CCOC(=O)c1ccc(N)cc1
WVYWICLMDOOCFB-UHFFFAOYSA-N,CC(C)CC(C)O
PQOSNJHBSNZITJ-UHFFFAOYSA-N,CCCCC(C)(O)CC
JWUJQDFVADABEY-UHFFFAOYSA-N,CC1CCCO1
WQZGKKKJIJFFOK-UHFFFAOYSA-N,OCC1OC(O)C(O)C(O)C1O
YCOXTKKNXUZSKD-UHFFFAOYSA-N,Cc1ccc(O)cc1C
WJNRPILHGGKWCK-UHFFFAOYSA-N,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
XKIRHOWVQWCYBT-UHFFFAOYSA-N,CCC(O)(CC)CC
NVGOPFQZYCNLDU-UHFFFAOYSA-N,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl
IWTBVKIGCDZRPL-UHFFFAOYSA-N,CCC(C)CCO
KUAZQDVKQLNFPE-UHFFFAOYSA-N,CN(C)C(=S)SSC(=S)N(C)C
QXAITBQSYVNQDR-UHFFFAOYSA-N,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1
KFUSEUYYWQURPO-UPHRSURJSA-N,Cl/C=C\Cl
KMAQZIILEGKYQZ-UHFFFAOYSA-N,O=[N+]([O-])c1cccc(Cl)c1
JLTDJTHDQAWBAV-UHFFFAOYSA-N,CN(C)c1ccccc1
VZPIPJKBIZCCCK-UHFFFAOYSA-N,CCCCOc1ccc(C(=O)OCC)c(N(CC)CC)c1
KVNYFPKFSJIPBJ-UHFFFAOYSA-N,CCc1ccccc1CC
RMMXTBMQSGEXHJ-UHFFFAOYSA-N,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
RGLYKWWBQGJZGM-UHFFFAOYSA-N,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1
LFHISGNCFUNFFM-UHFFFAOYSA-N,O=[N+]([O-])C(Cl)(Cl)Cl
GLDOVTGHNKAZLK-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCO
VZGDMQKNWNREIO-UHFFFAOYSA-N,ClC(Cl)(Cl)Cl
HHOSMYBYIHNXNO-UHFFFAOYSA-N,CC(C)CCC(C)(C)C
GNHMRTZZNHZDDM-UHFFFAOYSA-N,N#CCCCl
MNSCVRXKDINXEY-UHFFFAOYSA-N,CN1C(C(=O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O
NHOWDZOIZKMVAI-UHFFFAOYSA-N,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl
FMKOJHQHASLBPH-UHFFFAOYSA-N,CC(C)I
CETWDUZRCINIHU-UHFFFAOYSA-N,CCCCCC(C)O
USIUVYZYUHIAEV-UHFFFAOYSA-N,c1ccc(Oc2ccccc2)cc1
FVSKHRXBFJPNKK-UHFFFAOYSA-N,CCC#N
DTGKSKDOIYIVQL-UHFFFAOYSA-N,CC1(C)C2CCC1(C)C(O)C2
CZZYITDELCSZES-UHFFFAOYSA-N,c1ccc(Cc2ccccc2)cc1
PNVJTZOFSHSLTO-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc(SC)c(C)c1
BFCFYVKQTRLZHA-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1Cl
YNZXWQJZEDLQEG-UHFFFAOYSA-N,COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC
CXOFVDLJLONNDW-UHFFFAOYSA-N,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
HEZNVIYQEUHLNI-UHFFFAOYSA-N,CCSCc1ccccc1OC(=O)NC
CXKIGWXPPVZSQK-UHFFFAOYSA-N,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1
IFLREYGFSNHWGE-UHFFFAOYSA-N,c1ccc2cc3cc4ccccc4cc3cc2c1
MWWATHDPGQKSAR-UHFFFAOYSA-N,C#CC
BVOSSZSHBZQJOI-UHFFFAOYSA-N,C=CC(O)CCC
DUEPRVBVGDRKAG-UHFFFAOYSA-N,CNC(=O)Oc1cccc2c1OC(C)(C)C2
KPSSIOMAKSHJJG-UHFFFAOYSA-N,CC(C)(C)CO
AUKRYONWZHRJRE-UHFFFAOYSA-N,Oc1c2ccccc2cc2ccccc12
XMGQYMWWDOXHJM-UHFFFAOYSA-N,C=C(C)C1CC=C(C)CC1
RZILCCPWPBTYDO-UHFFFAOYSA-N,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1
IZUPBVBPLAPZRR-UHFFFAOYSA-N,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
NURQLCJSMXZBPC-UHFFFAOYSA-N,Cc1ccncc1C
VAHKBZSAUKPEOV-UHFFFAOYSA-N,Clc1ccc(-c2cc(Cl)ccc2Cl)cc1
RNVCVTLRINQCPJ-UHFFFAOYSA-N,Cc1ccccc1N
AMVYOVYGIJXTQB-UHFFFAOYSA-N,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1
JIVPVXMEBJLZRO-UHFFFAOYSA-N,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
YXIWHUQXZSMYRE-UHFFFAOYSA-N,Sc1nc2ccccc2s1
YNPNZTXNASCQKK-UHFFFAOYSA-N,c1ccc2c(c1)ccc1ccccc12
RQNKKIXVVHCBKY-UHFFFAOYSA-N,O=C1NC(=O)C2(CCCCCCC2)C(=O)N1
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO
HXGDTGSAIMULJN-UHFFFAOYSA-N,C1=Cc2cccc3cccc1c23
WWGQHTJIFOQAOC-UHFFFAOYSA-N,Oc1cc(Cl)cc(Cl)c1Cl
PROQIPRRNZUXQM-UHFFFAOYSA-N,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O
DDUHZTYCFQRHIY-UHFFFAOYSA-N,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O
OJYGBLRPYBAHRT-UHFFFAOYSA-N,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O
IQUPABOKLQSFBK-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1O
BSPCSKHALVHRSR-UHFFFAOYSA-N,CCC(C)Cl
QILSFLSDHQAZET-UHFFFAOYSA-N,OC(c1ccccc1)c1ccccc1
YHRUOJUYPBUZOS-UHFFFAOYSA-N,ClCCCCl
MQIUGAXCHLFZKX-UHFFFAOYSA-N,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC
FXHOOIRPVKKKFG-UHFFFAOYSA-N,CC(=O)N(C)C
XTRDKALNCIHHNI-UHFFFAOYSA-N,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-]
LSXKDWGTSHCFPP-UHFFFAOYSA-N,CCCCCCCBr
UGQMRVRMYYASKQ-UHFFFAOYSA-N,O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O
FNYLWPVRPXGIIP-UHFFFAOYSA-N,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
FBSFWRHWHYMIOG-UHFFFAOYSA-N,COC(=O)c1cc(O)c(O)c(O)c1
JHJOOSLFWRRSGU-UHFFFAOYSA-N,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
OWNAXTAAAQTBSP-UHFFFAOYSA-N,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1
XMUJIPOFTAHSOK-UHFFFAOYSA-N,CCCCCCCCCC(C)O
NHDODQWIKUYWMW-UHFFFAOYSA-N,Clc1ccc(Br)cc1
HHLXJTDUHFBYAU-UHFFFAOYSA-N,CCC1(C(C)C)C(=O)NC(=O)NC1=O
RGXWDWUGBIJHDO-UHFFFAOYSA-N,CCCCCCCCCC(=O)OCC
GCKMFJBGXUYNAG-UHFFFAOYSA-N,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC
LMYRWZFENFIFIT-UHFFFAOYSA-N,Cc1ccc(S(N)(=O)=O)cc1
DFOXKPDFWGNLJU-UHFFFAOYSA-N,CC(O)C(C)(C)C
MXLMTQWGSQIYOW-UHFFFAOYSA-N,CC(C)C(C)O
QMMFVYPAHWMCMS-UHFFFAOYSA-N,CSC
ZFLIKDUSUDBGCD-UHFFFAOYSA-N,O=C1NC(=O)C(=O)N1
JYGXADMDTFJGBT-UHFFFAOYSA-N,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
GYFAGKUZYNFMBN-UHFFFAOYSA-N,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
NKDDWNXOKDWJAK-UHFFFAOYSA-N,COCOC
JHBKHLUZVFWLAG-UHFFFAOYSA-N,Clc1cc(Cl)c(Cl)cc1Cl
YNARWAUTTJJADX-UHFFFAOYSA-N,CCN1c2ncccc2C(=S)N(C)c2cccnc21
HFACYLZERDEVSX-UHFFFAOYSA-N,Nc1ccc(-c2ccc(N)cc2)cc1
FOXFZRUHNHCZPX-UHFFFAOYSA-N,CSc1nnc(C(C)(C)C)c(=O)n1N
YREQHYQNNWYQCJ-UHFFFAOYSA-N,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1
AKUJBENLRBOFTD-UHFFFAOYSA-N,CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
DJEUXBQAKBLKPO-UHFFFAOYSA-N,Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1
ASVDRLYVNFOSCI-UHFFFAOYSA-N,Cc1cc2c3ccccc3ccc2c2ccccc12
VXNZUUAINFGPBY-UHFFFAOYSA-N,C=CCC
LKPLKUMXSAEKID-UHFFFAOYSA-N,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
MTBZIGHNGSTDJV-UHFFFAOYSA-N,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O
YRGAYAGBVIXNAQ-UHFFFAOYSA-N,COc1ccc(Cl)cc1
IAKOZHOLGAGEJT-UHFFFAOYSA-N,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
CPNGPNLZQNNVQM-UHFFFAOYSA-N,c1cnc2ncncc2n1
KENZYIHFBRWMOD-UHFFFAOYSA-N,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1
RQVYBGPQFYCBGX-UHFFFAOYSA-N,CCNc1nc(NC(C)C)nc(SC)n1
MLFHJEHSLIIPHL-UHFFFAOYSA-N,CC(=O)OCCC(C)C
QRXWMOHMRWLFEY-UHFFFAOYSA-N,NNC(=O)c1ccncc1
DZMDPHNGKBEVRE-UHFFFAOYSA-N,CCCCCCCCl
NXFQHRVNIOXGAQ-UHFFFAOYSA-N,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1
FKRCODPIKNYEAC-UHFFFAOYSA-N,CCOC(=O)CC
IBSQPLPBRSHTTG-UHFFFAOYSA-N,Cc1ccccc1Cl
SMWDFEZZVXVKRB-UHFFFAOYSA-N,c1ccc2ncccc2c1
YFGYUFNIOHWBOB-UHFFFAOYSA-N,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C
BJQHLKABXJIVAM-UHFFFAOYSA-N,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
KVFJBIQWENJTDM-UHFFFAOYSA-N,c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2
BBMCTIGTTCKYKF-UHFFFAOYSA-N,CCCCCCCO
JSRLURSZEMLAFO-UHFFFAOYSA-N,Brc1cccc(Br)c1
GUBGYTABKSRVRQ-UHFFFAOYSA-N,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
AKCRQHGQIJBRMN-UHFFFAOYSA-N,Nc1ccccc1Cl
PVVKNINYCJVIFZ-UHFFFAOYSA-N,CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21
XKJCHHZQLQNZHY-UHFFFAOYSA-N,O=C1NC(=O)c2ccccc21
GNXFOGHNGIVQEH-UHFFFAOYSA-N,COc1ccccc1OCC(O)COC(N)=O
CYTYCFOTNPOANT-UHFFFAOYSA-N,ClC(Cl)=C(Cl)Cl
VIROVYVQCGLCII-UHFFFAOYSA-N,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
PBMFSQRYOILNGV-UHFFFAOYSA-N,c1ccnnc1
XXOYNJXVWVNOOJ-UHFFFAOYSA-N,CN(C)C(=O)Nc1ccccc1
HKMTVMBEALTRRR-UHFFFAOYSA-N,c1ccc2c(c1)Cc1c-2ccc2ccccc12
UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl
WURBVZBTWMNKQT-UHFFFAOYSA-N,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1
PAAZPARNPHGIKF-UHFFFAOYSA-N,BrCCBr
CTSLUCNDVMMDHG-UHFFFAOYSA-N,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O
OMFXVFTZEKFJBZ-UHFFFAOYSA-N,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12
WHTBVLXUSXVMEV-UHFFFAOYSA-N,Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F
IPEHBUMCGVEMRF-UHFFFAOYSA-N,NC(=O)c1cnccn1
FJBFPHVGVWTDIP-UHFFFAOYSA-N,BrCBr
XNLICIUVMPYHGG-UHFFFAOYSA-N,CCCC(C)=O
PYLMCYQHBRSDND-UHFFFAOYSA-N,CCCC=C(C=O)CC
RMVRSNDYEFQCLF-UHFFFAOYSA-N,Sc1ccccc1
XGCHAIDDPMFRLJ-UHFFFAOYSA-N,Oc1c(Cl)ccc(Cl)c1Cl
KNKRKFALVUDBJE-UHFFFAOYSA-N,CC(Cl)CCl
DOFZAZXDOSGAJZ-UHFFFAOYSA-N,CCOP(=S)(OCC)SCCSCC
KLSJWNVTNUYHDU-UHFFFAOYSA-N,Nc1nc[nH]n1
ITRJWOMZKQRYTA-UHFFFAOYSA-N,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C
ZZLCFHIKESPLTH-UHFFFAOYSA-N,Cc1ccc(-c2ccccc2)cc1
WDNBURPWRNALGP-UHFFFAOYSA-N,Oc1ccc(Cl)c(Cl)c1
AFABGHUZZDYHJO-UHFFFAOYSA-N,CCCC(C)C
WXNZTHHGJRFXKQ-UHFFFAOYSA-N,Oc1ccc(Cl)cc1
JWAZRIHNYRIHIV-UHFFFAOYSA-N,Oc1ccc2ccccc2c1
DHXVGJBLRPWPCS-UHFFFAOYSA-N,C1CCOCC1
OJGMBLNIHDZDGS-UHFFFAOYSA-N,CCNc1ccccc1
XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1
FHADSMKORVFYOS-UHFFFAOYSA-N,OC1CCCCCCC1
QRMPKOFEUHIBNM-UHFFFAOYSA-N,CC1CCC(C)CC1
AEMFNILZOJDQLW-UHFFFAOYSA-N,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O
FDQGNLOWMMVRQL-UHFFFAOYSA-N,C=CCC1(CC=C)C(=O)NC(=O)NC1=O
YASYVMFAVPKPKE-UHFFFAOYSA-N,COP(=O)(NC(C)=O)SC
QGRPVMLBTFGQDQ-UHFFFAOYSA-N,COc1ccccc1Cl
LPIQUOYDBNQMRZ-UHFFFAOYSA-N,C1=CCCC1
DIKBFYAXUHHXCS-UHFFFAOYSA-N,BrC(Br)Br
UVJHQYIOXKWHFD-UHFFFAOYSA-N,C1=CCC=CC1
CVQODEWAPZVVBU-UHFFFAOYSA-N,CNC(=O)Oc1cc(C)cc(C)c1
HNKJADCVZUBCPG-UHFFFAOYSA-N,CSc1ccccc1
MJVAVZPDRWSRRC-UHFFFAOYSA-N,CC1=CC(=O)c2ccccc2C1=O
GZFGOTFRPZRKDS-UHFFFAOYSA-N,Oc1ccc(Br)cc1
LRJOMUJRLNCICJ-UHFFFAOYSA-N,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
CTMHWPIWNRWQEG-UHFFFAOYSA-N,CC1=CCCCC1
IJFPVINAQGWBRJ-UHFFFAOYSA-N,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C
DDMOUSALMHHKOS-UHFFFAOYSA-N,FC(F)(Cl)C(F)(F)Cl
TXCDCPKCNAJMEE-UHFFFAOYSA-N,c1ccc2c(c1)oc1ccccc12
YCSBALJAGZKWFF-UHFFFAOYSA-N,Nc1ccc2cc3ccccc3cc2c1
NBLIVIWUPTWDMD-UHFFFAOYSA-N,O=C1NC(=O)C2(CCCCC2)C(=O)N1
XSTXAVWGXDQKEL-UHFFFAOYSA-N,ClC=C(Cl)Cl
FTOVXSOBNPWTSH-UHFFFAOYSA-N,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
RDHPKYGYEGBMSE-UHFFFAOYSA-N,CCBr
OFDYMSKSGFSLLM-UHFFFAOYSA-N,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
IUMRYNUBZSCOQG-UHFFFAOYSA-N,CCN1c2ccccc2C(=O)N(C)c2ccccc21
UFNIBRDIUNVOMX-UHFFFAOYSA-N,Clc1ccc(-c2ccccc2Cl)cc1
PBKONEOXTCPAFI-UHFFFAOYSA-N,Clc1ccc(Cl)c(Cl)c1
SIKJAQJRHWYJAI-UHFFFAOYSA-N,c1ccc2[nH]ccc2c1
RELMFMZEBKVZJC-UHFFFAOYSA-N,Clc1cccc(Cl)c1Cl
MPEOPBCQHNWNFB-UHFFFAOYSA-N,Clc1ccccc1I
OPNPQXLQERQBBV-UHFFFAOYSA-N,CCC(Br)(CC)C(=O)NC(N)=O
DSKJPMWIHSOYEA-UHFFFAOYSA-N,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C
QPUYECUOLPXSFR-UHFFFAOYSA-N,Cc1cccc2ccccc12
UQDUPQYQJKYHQI-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)OC
MCSINKKTEDDPNK-UHFFFAOYSA-N,CCCOC(=O)CC
ZRIHAIZYIMGOAB-UHFFFAOYSA-N,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
HFACYLZERDEVSX-UHFFFAOYSA-N,Nc1ccc(-c2ccc(N)cc2)cc1
OWZREIFADZCYQD-UHFFFAOYSA-N,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
APQSQLNWAIULLK-UHFFFAOYSA-N,Cc1ccc(C)c2ccccc12
JARKCYVAAOWBJS-UHFFFAOYSA-N,CCCCCC=O
XITQUSLLOSKDTB-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1
GWOFUCIGLDBNKM-UHFFFAOYSA-N,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
ZERULLAPCVRMCO-UHFFFAOYSA-N,CCCSCCC
RSWPVXFVQHCCCI-UHFFFAOYSA-N,O=C1NC(=O)C2(CCCCCC2)C(=O)N1
LXCFILQKKLGQFO-UHFFFAOYSA-N,COC(=O)c1ccc(O)cc1
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Nc1ccccc1
HDZGCSFEDULWCS-UHFFFAOYSA-N,CNN
UEJJHQNACJXSKW-UHFFFAOYSA-N,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
RMOUBSOVHSONPZ-UHFFFAOYSA-N,CC(C)OC=O
GYRPICHNIDQFOD-UHFFFAOYSA-N,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C
FRDAATYAJDYRNW-UHFFFAOYSA-N,CCC(C)(O)CC
SBNFWQZLDJGRLK-UHFFFAOYSA-N,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C
IOJUPLGTWVMSFF-UHFFFAOYSA-N,c1ccc2scnc2c1
RZRPTBIGEANTGU-UHFFFAOYSA-N,CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O
QMMOXUPEWRXHJS-HWKANZROSA-N,C/C=C/CC
NUVBSKCKDOMJSU-UHFFFAOYSA-N,CCOC(=O)c1ccc(O)cc1
LCXMEXLGMKFLQO-UHFFFAOYSA-N,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl
MVWHGTYKUMDIHL-UHFFFAOYSA-N,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl
TUAMRELNJMMDMT-UHFFFAOYSA-N,Cc1cc(C)cc(O)c1
BYEVBITUADOIGY-UHFFFAOYSA-N,CCCCCCCCC(=O)OCC
BKOOMYPCSUNDGP-UHFFFAOYSA-N,CC=C(C)C
XQZYPMVTSDWCCE-UHFFFAOYSA-N,N#Cc1ccccc1C#N
AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC
RSPPUQXSQYBMEE-UHFFFAOYSA-N,CCN1c2nc(N(C)CCO)ccc2NC(=O)c2cccnc21
YVGGHNCTFXOJCH-UHFFFAOYSA-N,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
DJPZSBANTAQNFN-UHFFFAOYSA-N,CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
QPRQEDXDYOZYLA-UHFFFAOYSA-N,CCC(C)CO
WDJUZGPOPHTGOT-UHFFFAOYSA-N,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
QTBFPMKWQKYFLR-UHFFFAOYSA-N,CC(C)CCl
LINPIYWFGCPVIE-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)cc1Cl
CULUWZNBISUWAS-UHFFFAOYSA-N,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
FYFDQJRXFWGIBS-UHFFFAOYSA-N,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1
HMIBKHHNXANVHR-UHFFFAOYSA-N,CN(C)C(=O)SCCCCOc1ccccc1
WMSQREUDUHHDDC-UHFFFAOYSA-N,C=CCC1(C)C(=O)NC(=O)NC1=O
VQTUBCCKSQIDNK-UHFFFAOYSA-N,C=C(C)C
RZXMPPFPUUCRFN-UHFFFAOYSA-N,Cc1ccc(N)cc1
JFDZBHWFFUWGJE-UHFFFAOYSA-N,N#Cc1ccccc1
BXWNKGSJHAJOGX-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCO
YYZUSRORWSJGET-UHFFFAOYSA-N,CCCCCCCC(=O)OCC
WWUVJRULCWHUSA-UHFFFAOYSA-N,C=C(C)CCC
NIKKSNUDXYPTRO-UHFFFAOYSA-N,COc1ncc2nccnc2n1
CDOSHBSSFJOMGT-UHFFFAOYSA-N,C=CC(C)(O)CCC=C(C)C
NIHNNTQXNPWCJQ-UHFFFAOYSA-N,c1ccc2c(c1)Cc1ccccc1-2
ACBMYYVZWKYLIP-UHFFFAOYSA-N,CCCCCC(C)(C)O
JXSJBGJIGXNWCI-UHFFFAOYSA-N,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
YGLMVCVJLXREAK-UHFFFAOYSA-N,CN(C)C(=O)NC1CC2CC1C1CCCC21
OZKOMUDCMCEDTM-UHFFFAOYSA-N,c1cnc2c(c1)ccc1ncccc12
GYSSRZJIHXQEHQ-UHFFFAOYSA-N,CC1=C(C(=O)Nc2ccccc2)SCCO1
BZNDWPRGXNILMS-UHFFFAOYSA-N,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C
KCXZNSGUUQJJTR-UHFFFAOYSA-N,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC
ISAOCJYIOMOJEB-UHFFFAOYSA-N,O=C(c1ccccc1)C(O)c1ccccc1
RCFRTWDBBMGLGK-UHFFFAOYSA-N,CCC1(C)C(=O)NC(=O)NC1=O
QXKHYNVANLEOEG-UHFFFAOYSA-N,COc1c2occc2cc2ccc(=O)oc12
CMVQZRLQEOAYSW-UHFFFAOYSA-N,O=[N+]([O-])c1cccc(Cl)c1Cl
UYFLKEIEOREOFC-UHFFFAOYSA-N,O=C1C(=O)C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
LGXVIGDEPROXKC-UHFFFAOYSA-N,C=C(Cl)Cl
WEEGYLXZBRQIMU-UHFFFAOYSA-N,CC12CCC(CC1)C(C)(C)O2
ZTMKADLOSYKWCA-UHFFFAOYSA-N,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2
CXWXQJXEFPUFDZ-UHFFFAOYSA-N,c1ccc2c(c1)CCCC2
LRUUNMYPIBZBQH-UHFFFAOYSA-N,Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O
WKRLQDKEXYKHJB-UHFFFAOYSA-N,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O
CTQNGGLPUBDAKN-UHFFFAOYSA-N,Cc1ccccc1C
KANLOADZXMMCQA-UHFFFAOYSA-N,Cc1ccc2c(ccc3ccccc32)c1
FBPFZTCFMRRESA-UHFFFAOYSA-N,OCC(O)C(O)C(O)C(O)CO
FSCWZHGZWWDELK-UHFFFAOYSA-N,C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O
CJGXJKVMUHXVHL-UHFFFAOYSA-N,CC(C)(C)Cc1ccccc1
OWZPCEFYPSAJFR-UHFFFAOYSA-N,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
OCJBOOLMMGQPQU-UHFFFAOYSA-N,Clc1ccc(Cl)cc1
YVXHZKKCZYLQOP-UHFFFAOYSA-N,C#CCCCCC
RDOWQLZANAYVLL-UHFFFAOYSA-N,c1ccc2c(c1)cnc1ccccc12
PQSUYGKTWSAVDQ-UHFFFAOYSA-N,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12
QBYJBZPUGVGKQQ-UHFFFAOYSA-N,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl
NYQDCVLCJXRDSK-UHFFFAOYSA-N,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
RAIPHJJURHTUIC-UHFFFAOYSA-N,Nc1nccs1
ODNZLRLWXRXPOH-UHFFFAOYSA-N,Nc1cnn(-c2ccccc2)c(=O)c1Br
SJWFXCIHNDVPSH-UHFFFAOYSA-N,CCCCCCC(C)O
HNBDRPTVWVGKBR-UHFFFAOYSA-N,CCCCC(=O)OC
KDDQDUIBYASSFC-UHFFFAOYSA-N,CCN1c2ncccc2C(=O)Nc2c(C(F)(F)F)cc(C)nc21
ONUFESLQCSAYKA-UHFFFAOYSA-N,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O
QCKHVNQHBOGZER-UHFFFAOYSA-N,Brc1cc(Br)c(Br)cc1Br
GGLIEWRLXDLBBF-UHFFFAOYSA-N,CCOc1ccc(NC(N)=O)cc1
